id,text,label,ekrow
1,9CdUeWnkqz9DCoesnlnK,positive
2,nKXDdHpkN2Dz3MOHiDNy,negative
3,9DKRTJnxfkaMSiKsK8VX,positive
4,8pPhKFgfw6nLGgShQUMs,positive
5,tn4xv77W11IoH6uiB94C,neutral
6,WueHUF5m6nDkGmSrlZRG,neutral
7,Q34Sv0pcKpFQ2J1KmJu5,negative
8,zcblnQkSw7ARUk9Deq0J,negative
9,hHaT8ultXxpNg4IaElZc,neutral
10,SE9kjUnVcYk8U35DDriV,negative
11,WzJtKyNZfW4ugupHJ4Ug,neutral
12,27N9EsJJgmhfZEKZ8HGZ,neutral
13,Ars17IFQ9wy9KjTAFEHC,negative
14,kT47zcoJeIPcoJLijTZK,negative
15,UlEPlPs7B8Y1FjFouYaY,positive
16,YiuCMs5ULSwM1QK4T8vm,negative
17,R4DQiq0v8QTTe8ROqvA7,positive
18,j52Woy9X8dY1LslIhOsc,negative
19,amVXbiZY2YCQGEdpiPav,neutral
20,Symvu3HSGkxNhsc6sYm7,neutral
21,7fKUAot7qKkaq3tPHFT8,negative
22,al3ytKyeLNRZrq67Jjew,neutral
23,OriW47aD9NOSR6Nk1MeI,negative
24,qPro1gtch6YVpKFxTaVD,neutral
25,TgRQErvDwj0ndL7spBzG,neutral
26,5EUDE9QytZWnlAsxcFzU,positive
27,SNIiKtThWDeXpSk3rTRn,negative
28,k7DKKWPqz6b5jyvIDnzG,negative
29,dwSazXudVkAovBZhQVZ3,positive
30,LN5QHQQ2PhZlWS7ZBLAC,neutral
31,doptzNlEGNfrHGNLVlyw,neutral
32,EKDgZrQLCkMuJyDjj0LY,negative
33,xAdlrlg2eakm5cmlhepT,neutral
34,RDgBIwgCsSTpUljK8MJN,negative
35,LTf6MXZDG5INuOVnM9l8,positive
36,Yvz7qgMrirgRC7KAGzQd,neutral
37,BDIT6s29jzijz4tvrUFY,positive
38,G79n3vqQ2ABHvs3QiCTl,positive
39,rYb7AujpTDnnjWUvVK2c,positive
40,S2wSZ2xTfSwuSIWElDxP,neutral
41,k0ePrAig9g9vFBwMCZGh,positive
42,VECpFdneeJHstEW3mJoA,neutral
43,cGR45mXlBtkQiFs8H4GV,positive
44,oEqQfeEdSc2DVwIqPnUO,negative
45,r4KCL0WeoGyPcmGO1qHp,negative
46,qoXUGh4pK5UPMoEvBcLX,neutral
47,ySTF5p3JKKwvzX1vOsFa,positive
48,uUA8hYZa6wyNtEmLWf70,neutral
49,13JmzRms9PNNO9EzGyLD,neutral
50,BitqXl4xi5PF6KtTAFli,negative
51,RS9DkgZZfKe3rYQVHk5w,neutral
52,gi4AFgBSqTPbfYgm75h3,negative
53,rdRRjBsrwF32cN1HvH3u,negative
54,lBZXSJbLagtDsBugnjvA,positive
55,kygOYAW8vNgvL3SZcZoN,neutral
56,3KZmVqSTVj2MUy8lL7ma,neutral
57,HDqi2KVekhxX4avNTM9E,negative
58,Ficduhpx8QHsLCM2DsEy,negative
59,3n7Vw9jL81S37l9CCYw8,neutral
60,C8DmAdsnUmIaP2ApAL90,negative
