id,text,label,ekrow
1,JbLeYHOLmYxlBBOiqf7u,positive
2,dvxZqwMS4rJhzasJWBla,negative
3,tAE6K7DW5Yx2sO2qpBTM,neutral
4,x9xjRRuG5McVefCY8ejv,negative
5,3MKC5bQxW0SruYSiR52K,negative
6,eyGrv4pPrjyXzITCve60,negative
7,JzIg1ruYI595uJz4iqM5,negative
8,fjedxuE4yKPp9Odr4mSu,negative
9,ZlH8k4pCEtU1yUHkiZZb,neutral
10,zQct6EejdQXXZwTYRGHJ,positive
11,E6Wwxs95BBDjeQKsgYCX,positive
12,Woy2xOshZIjeQpY3Rzxw,positive
13,co5flxOWvJ3bjAnWeF8X,positive
14,B7Mo1OOfLQ1ldy8wbWtb,negative
15,tq4azArhASHuOIgBc7id,neutral
16,f8cFcNUrfGvzjis3Znck,neutral
17,cB2eLIixu4jBxOGSVa1d,neutral
18,VrA24R0oPK0Y1urIeWD8,positive
19,BQnEzm7vopDFdXho2CaJ,positive
20,yoJZ2ebFkMo8U7HKjwts,neutral
